ConsignDetailID,ConsignID,InvoiceNo,description,articleNo,article,weight,chargeWeight,rateType,rate,freight,InvoiceValue,GRNDate,GRNNo
392599,290536,NULL,KALMIN 100 KPS 7/10K,41,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392600,290537,NULL,SEDEX,6,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392601,290537,NULL,FEEDEX HD VSK 97L /36,40,72,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392602,290538,NULL,CORESEAL 445,20,2,NULL,300,Fixed,NULL,NULL,NULL,NULL,NULL
392603,290539,NULL,ISOMOL 7800,40,25,NULL,1200,Fixed,NULL,NULL,NULL,NULL,NULL
392604,290540,NULL,FEEDEX HD VSK 40/35,21,72,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392605,290541,NULL,Castings,6,190,NULL,65,Fixed,NULL,NULL,NULL,NULL,NULL
392606,290541,NULL,Castings,187,7,NULL,6724,Fixed,NULL,NULL,NULL,NULL,NULL
392607,290542,NULL,Sedex Dia,1,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392608,290542,NULL,SEDEX,2,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392609,290542,NULL,RHEOTEC 430,80,11,NULL,2400,Fixed,NULL,NULL,NULL,NULL,NULL
392610,290542,NULL,SEDEX,1,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392611,290541,NULL,R .T. FILM,3,78,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392612,290543,NULL,Iron Powder,200,2,NULL,5000,Fixed,NULL,NULL,NULL,NULL,NULL
392613,290544,NULL,Iron Powder,200,2,NULL,5000,Fixed,NULL,NULL,NULL,NULL,NULL
392614,290545,NULL,"Big W/box,casting",4,494,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392615,290546,NULL,Casting,227,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392616,290546,NULL,Freight Sale,1,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392623,290553,NULL,CASTINGS,15,96,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392624,290554,NULL,IVGK-B 80 WCB BODY,25,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392625,290554,NULL,Ivgk 125 Wcb Body,8,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392626,290554,NULL,Ivgk 125ci Body,41,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392627,290554,NULL,IVGK 80ci Body,44,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392628,290554,NULL,Ivgk -b 125 Ci Body,5,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392629,290554,NULL,Ivgk 80 Ci Body,2,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392630,290554,NULL,Wooden Pallet,1,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
