ConsignDetailID,ConsignID,InvoiceNo,description,articleNo,article,weight,chargeWeight,rateType,rate,freight,InvoiceValue,GRNDate,GRNNo
392786,290656,NULL,RHEOTEC 440 (GPI),117,11,NULL,3510,Fixed,NULL,NULL,NULL,NULL,NULL
392787,290657,NULL,KALMINEX 108 ZP 6/9 K,32,72,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392788,290657,NULL,Sedex 50x50x15/20,1,3,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392789,290657,NULL,Sedex 50x50x22/20,2,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392790,290658,NULL,SLEEVE,34,72,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392791,290659,NULL,MOULD SEALING ROPE,22,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392792,290660,NULL,CORRUGATED BOXES,42,6,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392793,290660,NULL,CORRUGATED BOXES,1,3,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392794,290661,NULL,Castings,2,7,NULL,803,Fixed,NULL,NULL,NULL,NULL,NULL
392795,290662,NULL,Castings,1,7,NULL,315,Fixed,NULL,NULL,NULL,NULL,NULL
392796,290663,NULL,Castings,1,190,NULL,16,Fixed,NULL,NULL,NULL,NULL,NULL
392797,290664,NULL,Castings,6,7,NULL,616,Fixed,NULL,NULL,NULL,NULL,NULL
392798,290664,NULL,R .T. FILM,1,106,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392799,290665,NULL,Castings,9,7,NULL,1671,Fixed,NULL,NULL,NULL,NULL,NULL
392800,290666,NULL,Castings,35,190,NULL,793,Fixed,NULL,NULL,NULL,NULL,NULL
392801,290667,NULL,BASE FRAME,10,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392810,290676,NULL,1 Alu Split Pattern Fixed On 0 M.s. Plate +2 Alu Split Core Box,1,28,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392811,290677,NULL,Piston,29,3,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392812,290678,NULL,CASTING,11,3,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392816,290682,NULL,CASTING,3,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392822,290688,NULL,CASTING,730,7,NULL,1475,Fixed,NULL,NULL,NULL,NULL,NULL
392823,290689,NULL,Paint Black,32,97,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392824,290690,NULL,PATTERN,1,28,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392825,290691,NULL,AS PER LIST,1,3,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392826,290692,NULL,SHAFT,11,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392827,290693,NULL,BRG SLV,6,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392828,290694,NULL,CARBON CUP & TEMP TIPS,14,3,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392830,290680,NULL,THERMOCOUPLE TIP,10,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392831,290681,NULL,CUPS & TIPS,30,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392832,290681,NULL,SMART CUPS,10,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392833,290695,NULL,TRANSFARMER,6,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392834,290696,NULL,Studs & Washer,8,2,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392835,290697,NULL,SLEEVE,5,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392836,290698,NULL,GUARDS,204,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392837,290699,NULL,METACUPS,20,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392838,290700,NULL,SLEEVE,20,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392839,290668,NULL,SLV,10,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392840,290701,NULL,SNAP GAUGE,2,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392841,290702,NULL,CLEANAL 6 & 75,18,2,NULL,900,Fixed,NULL,NULL,NULL,NULL,NULL
392842,290669,NULL,SHAFT,3,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392843,290670,NULL,SHAFT,3,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392844,290703,NULL,Acmeklin MP-1415,18,11,NULL,950,Fixed,NULL,NULL,NULL,NULL,NULL
392845,290703,NULL,MP - 101,2,29,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392846,290703,NULL,SLEEVE,56,72,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392847,290704,NULL,SLEEVE,27,72,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392848,290671,NULL,SHAFT FITTING SLEEV,17,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392849,290705,NULL,SLEEVE,5,72,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392850,290672,NULL,SHAFT,1,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392851,290706,NULL,ALDEGAS 7,1,3,NULL,145,Fixed,NULL,NULL,NULL,NULL,NULL
392852,290706,NULL,AFCOTE-100,3,11,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392853,290673,NULL,SHAFT FITTING SLEEV,5,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392854,290674,NULL,SLV,4,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392855,290707,NULL,BATTERY CHARGER,1,3,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392856,290707,NULL,"CARBON CUPS, TEMP TIPS",12,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392857,290708,NULL,CARBON CUP,10,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392858,290709,NULL,CARBON CUP,2,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392859,290675,NULL,SLV,2,9,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392860,290710,NULL,CARBON CUP,5,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392861,290711,NULL,COMP CABLE,1,3,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392862,290712,NULL,CARBON CUP,2,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392863,290713,NULL,TEMP TIPS,3,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392864,290679,NULL,MUFF COUP / SLV,1,494,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392865,290714,NULL,BRACKET CHAMBER ASSMLY,50,7,NULL,4430,Fixed,NULL,NULL,NULL,NULL,NULL
392866,290714,NULL,BEDKI,200,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392867,290715,NULL,BRACKET CHAMBER ASSMLY,30,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392868,290715,NULL,BEDKI,76,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392869,290716,NULL,CRANK SHAFT-32 R96,420,7,NULL,2940,Fixed,NULL,NULL,NULL,NULL,NULL
392870,290683,NULL,FENOTEC 5010,4,29,NULL,1250,Fixed,NULL,NULL,NULL,NULL,NULL
392871,290683,NULL,HARDNER H 730,5,17,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392872,290683,NULL,Sedex 50x50x22/10,1,3,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392873,290685,NULL,FERROGEN LF 10X,8,2,NULL,205,Fixed,NULL,NULL,NULL,NULL,NULL
392874,290685,NULL,TELLURIT 1 PASTE,1,12,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392875,290686,NULL,SEDEX 40X40X15/10,6,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392876,290686,NULL,RHEOTEC 402,8,11,NULL,400,Fixed,NULL,NULL,NULL,NULL,NULL
392877,290686,NULL,FERROGEN LF 10X,8,2,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392878,290684,NULL,RHEOTEC 402,4,11,NULL,100,Fixed,NULL,NULL,NULL,NULL,NULL
392879,290717,NULL,KALMINEX 108,15,72,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392880,290718,NULL,RHEOTEC CAC,40,11,NULL,1000,Fixed,NULL,NULL,NULL,NULL,NULL
392881,290719,NULL,KALMINEX 108 ZP4/7 K,5,72,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392882,290719,NULL,Sedex 50x50x15/10,3,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392883,290720,NULL,RHEOTEC INSTA TAD (GPI) PART B,60,13,NULL,6360,Fixed,NULL,NULL,NULL,NULL,NULL
392884,290720,NULL,RHEOTEC INSTA TAD (GPI) PART A,240,2,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392885,290720,NULL,SEDEX 100x100x22/20,10,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392886,290687,NULL,Sedex 50x50x15/10,1,3,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392887,290721,NULL,FEEDEX HD VSK 40/35,20,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392888,290722,NULL,INOCULIN 250 (M),16,2,NULL,885,Fixed,NULL,NULL,NULL,NULL,NULL
392889,290722,NULL,CORSEAL 445,19,2,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392890,290722,NULL,HOLCOTE 258,5,11,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392891,290723,NULL,CERAMIC FOAM FILTER,222,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392892,290724,NULL,SLEEVE,7,72,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392893,290725,NULL,Carbon Cup And Temprature Tips,6,3,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392894,290726,NULL,Gland / Spacer Sleeve /busing,22,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392895,290727,NULL,Neck Ring / Cover/ Spacer Sleeve,1,3,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392896,290728,NULL,ALUMINIUM PATTERN & Core Box,1,28,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392898,290730,NULL,Casting,10,3,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392899,290731,NULL,Shaft,4,7,NULL,150,Fixed,NULL,NULL,NULL,NULL,NULL
392900,290732,NULL,Shaft,2,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392901,290733,NULL,Piston,2,3,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392902,290734,NULL,Big W/box Casting,6,494,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392903,290735,NULL,NUT RETAINER LOCK,4,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392904,290736,NULL,Casting,212,7,NULL,400,Fixed,NULL,NULL,NULL,NULL,NULL
392905,290737,NULL,Casting,20,7,NULL,200,Fixed,NULL,NULL,NULL,NULL,NULL
392906,290738,NULL,Casting,23,96,NULL,400,Fixed,NULL,NULL,NULL,NULL,NULL
392907,290738,NULL,NULL,54,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392908,290739,NULL,Casting,39,4,NULL,805,Fixed,NULL,NULL,NULL,NULL,NULL
392909,290740,NULL,Casting,2,7,NULL,44,Fixed,NULL,NULL,NULL,NULL,NULL
392910,290729,NULL,Casting,19,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392911,290741,NULL,Casting,6,1,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392912,290742,NULL,Ivgk 150 Ci Body,20,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392913,290742,NULL,Ivgk -b 50 Wcb Body,13,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392914,290742,NULL,Ivgk -b 200 Wcb Body,13,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392915,290742,NULL,Tvtl -b 125wcb Body,7,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392916,290742,NULL,Ivtl -b 100 Wcb Body,7,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392917,290742,NULL,IVGK 80 CI BODY,80,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392918,290742,NULL,Ivtl -b 50 Wcb Body,1,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392919,290742,NULL,Ivtl -b 50wcb Body,4,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392920,290742,NULL,Wooden Pallet,1,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392921,290743,NULL,Alu Piston -p 500,100,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392922,290743,NULL,Ali Piston -p 150 (nos 256),7,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392923,290744,NULL,CSG TOP/ BOT,4,7,NULL,1825,Fixed,NULL,NULL,NULL,NULL,NULL
392924,290745,NULL,Iv 550,37,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392925,290745,NULL,Cap 2500,5,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392926,290745,NULL,PALLET,3,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392927,290745,NULL,FREM,5,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392928,290746,NULL,CASTING,2,7,NULL,273,Fixed,NULL,NULL,NULL,NULL,NULL
392929,290747,NULL,Lubricare Body,89,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392930,290748,NULL,SHAFT S950,47,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392931,290748,NULL,"SHAFT S100 NOS 126, SHAFT S60 NOS 240",4,494,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392932,290748,NULL,NULL,1,208,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392933,290748,NULL,NULL,1,1533,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392934,290749,NULL,DISC DN 200CF8M,21,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392935,290749,NULL,NULL,1,2609,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392936,290750,NULL,CASTING PULLEY,200,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392937,290750,NULL,CASTING,12,1,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392938,290751,NULL,Manifold Die.,2,7,NULL,4500,Fixed,NULL,NULL,NULL,NULL,NULL
392939,290752,NULL,Castings,12,7,NULL,800,Fixed,NULL,NULL,NULL,NULL,NULL
392940,290753,NULL,Castings,27,7,NULL,674,Fixed,NULL,NULL,NULL,NULL,NULL
392941,290754,NULL,Castings,183,7,NULL,4490,Fixed,NULL,NULL,NULL,NULL,NULL
392942,290754,NULL,R .T. FILM,3,78,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392943,290755,NULL,Castings,2,7,NULL,73,Fixed,NULL,NULL,NULL,NULL,NULL
392944,290756,NULL,Castings,6,7,NULL,1922,Fixed,NULL,NULL,NULL,NULL,NULL
392945,290757,NULL,Castings,3,7,NULL,729,Fixed,NULL,NULL,NULL,NULL,NULL
392946,290758,NULL,Castings,11,7,NULL,2375,Fixed,NULL,NULL,NULL,NULL,NULL
392947,290759,NULL,Castings,61,190,NULL,2224,Fixed,NULL,NULL,NULL,NULL,NULL
392964,290776,NULL,FORGINGS,70,7,NULL,10110,Fixed,NULL,NULL,NULL,NULL,NULL
392965,290776,NULL,FORGINGS,2,8,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392967,290778,NULL,CASTINGS,61,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392968,290778,NULL,IMP LOOSE,6,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392969,290778,NULL,NULL,1,2585,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392970,290779,NULL,NULL,21,28,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392971,290779,NULL,NULL,1,2585,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392972,290780,NULL,NULL,1,1,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392973,290781,NULL,NULL,7,2,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392974,290781,NULL,NULL,8,190,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392975,290782,NULL,NULL,1,10,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392976,290783,NULL,Castings,1,3,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392977,290784,NULL,BALL SCREW,1,8,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392979,290786,NULL,FUEL TANKS,4,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392980,290787,NULL,AFCICOAL 32-M,250,2,NULL,10000,Fixed,NULL,NULL,NULL,NULL,NULL
392981,290760,NULL,SHAFTS,3,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392982,290761,NULL,SHAFTS FITTING WITH SLEEV,2,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392983,290762,NULL,W/BOX,1,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392984,290763,NULL,Impeller,2,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392985,290764,NULL,W/BOX,1,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392986,290775,NULL,SMART HC CUP & TEMP TIPS,12,3,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392987,290788,NULL,ALUMINIUM ALLOY INGOT,268,7,NULL,2347,Fixed,NULL,NULL,NULL,NULL,NULL
392988,290774,NULL,WIRE,1,182,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392989,290774,NULL,NULL,1,3,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392990,290773,NULL,"Ct-60/30, Tepping",1,3,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392991,290771,NULL,POLITEC 800 B,11,29,NULL,4400,Fixed,NULL,NULL,NULL,NULL,NULL
392992,290771,NULL,POLITEC 800 A,11,29,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392993,290768,NULL,FERRUX 707 F,20,2,NULL,500,Fixed,NULL,NULL,NULL,NULL,NULL
392994,290767,NULL,TENO TEC TC(J),100,25,NULL,3000,Fixed,NULL,NULL,NULL,NULL,NULL
392995,290770,NULL,FEEDEX HD VSK 97/34,15,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392996,290770,NULL,FEEDEX HD VS 16,7,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392997,290772,NULL,KALMINEX 108ZP6/9K,17,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392998,290772,NULL,SEDEX,1,3,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392999,290766,NULL,TELLURIT 1 PASTE,1,12,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
393000,290789,NULL,BEDKI RH LH ASSEMBLY,230,7,NULL,2600,Fixed,NULL,NULL,NULL,NULL,NULL
393001,290789,NULL,BIG BRACKET BRK CHAMBER,35,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
393002,290790,NULL,FLG PIPE,2,2,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
393003,290790,NULL,FLG PIPE,8,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
393004,290791,NULL,TOP BOTTOM CASTINGS,3,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
393005,290791,NULL,BRG HSG,1,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
393006,290792,NULL,WEAR RINGS,2,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
393007,290793,NULL,ALUM PATTERNS,1,8,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
393008,290793,NULL,MATCH PLATES,2,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
393009,290794,NULL,GAUGE,1,3,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
393010,290795,NULL,Rejection Casting,1,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
393011,290796,NULL,Rejection Castings,7,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
393012,290797,NULL,Rejection Castings,5,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
393013,290798,NULL,Rejection Castings,10,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
393014,290799,NULL,Rejection Castings,8,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
393015,290800,NULL,Rejection Castings,7,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
393016,290769,NULL,SEMCO SIL PID W 1880-1,3,11,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
393017,290769,NULL,HOLCOTE 258,1,12,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
393018,290777,NULL,FORGINGS,73,7,NULL,10090,Fixed,NULL,NULL,NULL,NULL,NULL
393019,290801,NULL,M-COWL NUT RH-LH,26,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
393020,290801,NULL,S-SLEEVE NUT RH-LH,34,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
393021,290801,NULL,S-SPACER SLV,7,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
393022,290802,NULL,SHAFT WITH SLEEVE FITTED,11,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
393023,290803,NULL,SLEEVE,30,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
393024,290804,NULL,SHAFT WITH SLEEVE FITTED,9,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
393025,290805,NULL,SHAFT WITH SLEEVE FITTED,8,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
393026,290806,NULL,SHAFT WITH SLEEVE FITTED,8,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
393027,290807,NULL,IMPELLER FITTING CUTDOWN,2,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
393028,290807,NULL,NECK RING,2,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
393029,290808,NULL,WATER DEFL,6,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
393030,290809,NULL,HEXAGON NUT,4,2,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
393031,290785,NULL,BASE FRAME,5,389,NULL,365,Fixed,NULL,NULL,NULL,NULL,NULL
393032,290810,NULL,CASTING,8,7,NULL,1205,Fixed,NULL,NULL,NULL,NULL,NULL
393033,290811,NULL,CASTING,11,7,NULL,563,Fixed,NULL,NULL,NULL,NULL,NULL
393034,290812,NULL,CASTING,4,7,NULL,166,Fixed,NULL,NULL,NULL,NULL,NULL
393035,290813,NULL,CASTING,2,494,NULL,300,Fixed,NULL,NULL,NULL,NULL,NULL
393036,290814,NULL,CASTING,2,7,NULL,629,Fixed,NULL,NULL,NULL,NULL,NULL
393037,290815,NULL,CASTING,79,7,NULL,4616,Fixed,NULL,NULL,NULL,NULL,NULL
393041,290819,NULL,NULL,14,3,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
393042,290819,NULL,NULL,1,1,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
393044,290821,NULL,ENIGINES,2,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
393045,290820,NULL,FORGINGS,7,7,NULL,10920,Fixed,NULL,NULL,NULL,NULL,NULL
393046,290822,NULL,CASTING,10,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
393047,290823,NULL,Casting Ring,65,7,NULL,2100,Fixed,NULL,NULL,NULL,NULL,NULL
393048,290824,NULL,NULL,1,3,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
393049,290825,NULL,Casting,19,3,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
393050,290826,NULL,Casting,3,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
393051,290827,NULL,Casting,1,3,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
393052,290828,NULL,NULL,1,3,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
393053,290826,NULL,Casting,1,3,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
393054,290829,NULL,Casting,2,3,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
393055,290830,NULL,Seal Cover,16,3,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
393056,290831,NULL,Casting,110,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
393057,290831,NULL,Cover Casting,10,1,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
393058,290832,NULL,NULL,3,7,NULL,100,Fixed,NULL,NULL,NULL,NULL,NULL
393059,290833,NULL,Casting For Cover Lop,194,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
393060,290834,NULL,NULL,2,3,NULL,100,Fixed,NULL,NULL,NULL,NULL,NULL
393061,290835,NULL,CASTINGS,5,7,NULL,5250,Fixed,NULL,NULL,NULL,NULL,NULL
393062,290836,NULL,ACMIN B SLEEVE,25,3,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
393063,290836,NULL,ACMIN SLEEVE,35,324,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
393064,290837,NULL,Acmeklin MP-1415,17,11,NULL,510,Fixed,NULL,NULL,NULL,NULL,NULL
393065,290838,NULL,ACMIN- DP,33,324,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
393066,290839,NULL,ACMEKLIN 2021SS,5,11,NULL,150,Fixed,NULL,NULL,NULL,NULL,NULL
393067,290840,NULL,Acmeklin MP-1415,15,11,NULL,450,Fixed,NULL,NULL,NULL,NULL,NULL
393068,290841,NULL,Piston,7,3,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
393069,290842,NULL,Acmeklin MP-1415,10,11,NULL,300,Fixed,NULL,NULL,NULL,NULL,NULL
393070,290843,NULL,ACMEX SLEEVE,5,324,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
393071,290844,NULL,Cover Cast,40,1,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
393072,290845,NULL,ACMIN A SLEEVE,10,324,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
393073,290846,NULL,DXR VALVE ASSY,2,37,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
