RouteBillID,billNo,date,branch,customer,totalFreight,ExtraFC,ExtraOverload,ExtraStation,TollTax,Commission,localFreight,Detention,Closed,remark,DueDate,EmployeeID,LastEdited,Type,BillType,RTO,FreightPart,Discount,ServiceTax,total,grandTotal,cgst,cgstPercent,sgst,sgstPercent
16967,302,2023-09-02 15:50:00.000,1,13190,18340,0,0,0,0,0,0,0,0,,2023-09-17 15:50:00.000,5,NULL,1,1,0,0,0,0,18340,0,0,0,0,0
16968,303,2023-09-02 15:51:06.000,1,7830,16610,0,0,0,0,0,0,0,0,,2023-09-17 15:51:06.000,5,NULL,1,1,0,0,0,0,16610,0,0,0,0,0
16969,304,2023-09-02 15:52:19.000,1,8159,2230,0,0,0,0,0,0,0,0,,2023-09-17 15:52:19.000,5,NULL,1,1,0,0,0,0,2230,0,0,0,0,0
16970,305,2023-09-02 14:45:28.000,1,1321,1345,0,0,0,0,0,0,0,0,,2023-09-17 14:45:28.000,5,NULL,1,1,0,0,0,0,1345,0,0,0,0,0
16971,306,2023-09-02 17:17:34.000,1,130,6070,0,0,0,0,0,0,0,0,,2023-09-17 17:17:34.000,5,NULL,1,1,0,0,0,0,6070,0,0,0,0,0
16972,307,2023-09-02 15:56:55.000,1,7856,10800,0,0,0,0,0,0,0,0,,2023-09-17 15:56:55.000,5,NULL,1,1,0,0,0,0,10800,0,0,0,0,0
16973,308,2023-09-02 18:03:43.000,1,6724,26028,0,0,0,0,0,0,0,0,,2023-09-17 18:03:43.000,7,NULL,1,1,0,0,0,0,26028,0,0,0,0,0
16974,309,2023-09-02 16:04:52.000,1,14901,4995,0,0,0,0,0,0,0,0,,2023-09-17 16:04:52.000,5,NULL,1,1,0,0,0,0,4995,0,0,0,0,0
16975,310,2023-09-02 16:06:57.000,1,5346,12440,0,0,0,0,0,0,0,0,,2023-09-17 16:06:57.000,5,NULL,1,1,0,0,0,0,12440,0,0,0,0,0
16976,311,2023-09-02 16:08:19.000,1,1289,48782,0,0,0,0,0,0,0,0,,2023-09-17 16:08:19.000,5,NULL,1,1,0,0,0,0,48782,0,0,0,0,0
