PackageID,name,description,Returnable,Rate
270,Louses Pattern,NULL,NULL
271,Bakkels,NULL,NULL
272,W Box,NULL,NULL
273,Top ,NULL,NULL
274,Ring,NULL,NULL
275,Jambo Bags,NULL,NULL
276,Barall,NULL,NULL
277,Bld,NULL,NULL
278,Boxse,NULL,NULL
279,W/B,NULL,NULL
281,Durm,NULL,NULL
282,Trey,NULL,NULL
283,Big Bunddles,NULL,NULL
284,Woode,NULL,NULL
285,Bagse,NULL,NULL
286,Catings,NULL,NULL
287,Bottom,NULL,NULL
288,Roud Bundal,NULL,NULL
289,LOOSE COVERS,NULL,NULL
290,Inertia,NULL,NULL
291,Flag Roller,NULL,NULL
292,Idleaz,NULL,NULL
293,Hub,NULL,NULL
294,Losse,NULL,NULL
295,BAR,NULL,NULL
296,IVR,NULL,NULL
297,Round Bar,NULL,NULL
298,Casing,NULL,NULL
299,NIS,NULL,NULL
300,Impeller,NULL,NULL
301,OS,NULL,NULL
302,Ltr,NULL,NULL
303,Drams,NULL,NULL
304,Boxrs,NULL,NULL
305,Loose Nose,NULL,NULL
306, Nose,NULL,NULL
307,Alluminium,NULL,NULL
308,Nos Shaft,NULL,NULL
309,W/c,NULL,NULL
310,C/box,NULL,NULL
311,Pattern Set,NULL,NULL
312,Diffuser,NULL,NULL
313, Loose Nos,NULL,NULL
314,Loose Nos,NULL,NULL
315,Bsgs,NULL,NULL
316,Pannel,NULL,NULL
317,Bundals,NULL,NULL
318,W /box,NULL,NULL
319,Carbayes,NULL,NULL
320,C/ Boxes,NULL,NULL
321,Wooden Pallet,NULL,NULL
322,W /boxs,NULL,NULL
323,Loose Patterns,NULL,NULL
324,Treys,NULL,NULL
325,Housing,NULL,NULL
326,Core Boxes,NULL,NULL
327,Non,NULL,NULL
328,Pump Set,NULL,NULL
329,Bubble Boxes,NULL,NULL
330,Cover,NULL,NULL
331,SMALL BUNDLE,NULL,NULL
332,Bottle,NULL,NULL
333,Heater,NULL,NULL
334,Shft,NULL,NULL
335,Base Frame,NULL,NULL
336,Small Packet,NULL,NULL
337,Bxes,NULL,NULL
338,Taey,NULL,NULL
339,Loo,NULL,NULL
340,Wastage Fire Wood,NULL,NULL
341,Deums,NULL,NULL
342,Bagea,NULL,NULL
343,Blakl,NULL,NULL
344,Wooden Peti,NULL,NULL
345,Bagrs,NULL,NULL
346,Pallet Boxes,NULL,NULL
347,N OS ,NULL,NULL
348,Palt,NULL,NULL
349,Rt Film,NULL,NULL
350,Durms,NULL,NULL
351,Bucket Bandal,NULL,NULL
352,Carton Boxes,NULL,NULL
353,Babal Bandal,NULL,NULL
354,Broach,NULL,NULL
355,Pallet Withframe,NULL,NULL
356,Pallet With Frame,NULL,NULL
357,Wooden ,NULL,NULL
358,Woodenbox,NULL,NULL
359,SLEEVE,NULL,NULL
360,Ibe,NULL,NULL
361,Ring Babal Bundle,NULL,NULL
362,Woodenboxes,NULL,NULL
363,Loose Scrap,NULL,NULL
364,Ring Bandal,NULL,NULL
365,Fiel,NULL,NULL
366,Packet With Frame,NULL,NULL
367,Fleak,NULL,NULL
368,Pucges,NULL,NULL
369,Wooden Box Peti,NULL,NULL
370,TAEYS,NULL,NULL
371,Empty ,NULL,NULL
372,Bagas,NULL,NULL
373,Bubble ,NULL,NULL
374,Buubble Box,NULL,NULL
375,WODDEN BOXES,NULL,NULL
376,Boxres,NULL,NULL
377,Rall,NULL,NULL
378,Bakets,NULL,NULL
379,Wooden Box Big,NULL,NULL
380,Trasys,NULL,NULL
381,Bunadal,NULL,NULL
