ConsignID,lrNo,date,branch,invoiceNo,deliveryType,vehicleNo,consignor,consignorAddress,from,consignee,consigneeAddress,to,deliveryAt,deliveryAddress,deliveryCity,BranchDelivery,DeliveryBranch,materialCost,totalFreight,hamali,osc,deliveryCharges,otherCharges,statistical,deliveryInDays,PANNo,serviceTaxBy,FreightPayType,payMode,bankName,chequeNo,chequeDate,toBilled,collectAt,remark,eWayBillNo,EmployeeID,updatedBy
290015,11,01-04-2024,1,"1572498001, 1512400015, 1512400016",Door,9276,53,"Gat No. 922 &amp; 923, Sanaswadi, Tal. Shirur, Dist. Pune-412208GST NO.27AAACF1049H1ZW",15,2863,"Plot No. C-10, Five Star M I D C Kagal, Tal. Hatkanangale, Dist. Kolhapur- 416202GST NO. 27ACCS5263N1ZW",51,NULL,,NULL,0,NULL,113811,0,0,0,0,0,25,1,AAEFD5950A,NULL,3,NULL,NULL,NULL,NULL,1,1,"E Way Bill No: 271743461269, 241743529258, 271743529257",1,NULL,,,,,,,,,,,,,,,,,,,
290016,12,01-04-2024,1,"1572498002, 1512400018",Door,9276,53,"Gat No. 922 &amp; 923, Sanaswadi, Tal. Shirur, Dist. Pune-412208GST NO.27AAACF1049H1ZW",15,4711,"Plot No.151/1, Kallappanna Awade Co-op Indi.. Estate &amp; Textile Park Kata Village Tal.hatkangale Dist KolhapurGST NO. 27AACCS5263N1ZW",294,NULL,,NULL,0,NULL,457533,0,0,0,0,0,25,1,AAEFD5950A,NULL,3,NULL,NULL,NULL,NULL,1,1,"E Way Bill No: 241743529993, 221743461280",1,NULL,,,,,,,,,,,,,,,,,,,
290017,13,01-04-2024,1,1572498006,Door,9276,53,"Gat No. 922 &amp; 923, Sanaswadi, Tal. Shirur, Dist. Pune-412208GST NO.27AAACF1049H1ZW",15,2236,"L-7, Additional M. I. .D. C. Satara-415004.GST NO.27AAACM3091N1Z6",17,NULL,,NULL,0,NULL,21594,0,0,0,0,0,25,1,AAEFD5950A,NULL,3,NULL,NULL,NULL,NULL,2,1,E Way Bill No: 221743464304,1,NULL,,,,,,,,,,,,,,,,,,,
290018,14,01-04-2024,1,1512400023,Door,9276,53,"Gat No. 922 &amp; 923, Sanaswadi, Tal. Shirur, Dist. Pune-412208GST NO.27AAACF1049H1ZW",15,6871,"Plot No. K-1, ADDL. M. I. D. C. SataraGST NO. 27AABCM0781G1ZL",17,NULL,,NULL,0,NULL,52076,0,0,0,0,0,25,1,AAEFD5950A,NULL,3,NULL,NULL,NULL,NULL,2,1,E Way Bill No: 281743530786,1,NULL,,,,,,,,,,,,,,,,,,,
290019,15,01-04-2024,1,"1512400019, 1572498003",Door,9276,53,"Gat No. 922 &amp; 923, Sanaswadi, Tal. Shirur, Dist. Pune-412208GST NO.27AAACF1049H1ZW",15,25038,"Plot No. P-60, MIDC Miraj-416410GST NO:27AAFCJ3375F1ZI",32,NULL,,NULL,0,NULL,174558,6030,167,0,550,0,25,1,AAEFD5950A,NULL,3,NULL,NULL,NULL,NULL,2,1,"E Way Bill No: 291743529998, 231743461283",1,50:51.8,,,,,,,,,,,,,,,,,,,
290020,16,01-04-2024,1,"1572498005, 1572498004, 1512400022, 1512400020, 1512400021",Door,9276,53,"Gat No. 922 &amp; 923, Sanaswadi, Tal. Shirur, Dist. Pune-412208GST NO.27AAACF1049H1ZW",15,2229,"E-35, M I D C Kupwad, Sangli-416436GST NO. 27AAECS8077J1ZS",384,NULL,,NULL,0,NULL,383546,7887,266,0,0,0,25,1,AAEFD5950A,NULL,3,NULL,NULL,NULL,NULL,2,1,"E WAY BILL NO: 231743464279, 231743464295, 281743530025, 261743529999, 201743530021",1,52:06.1,,,,,,,,,,,,,,,,,,,
290021,1,01-04-2024,5,125,Door,9240,28324,Onkar Pride 1st Floar Flat No 4/5 Sangli,10,4423,"814, Shukrwar Peth Pune-41002GST NO. 27AAPFS6936G1ZM",310,NULL,,NULL,0,NULL,0,0,0,0,0,0,25,1,AAEFD5950A,NULL,3,NULL,NULL,NULL,NULL,1,5,As Per Challan No: ,1,NULL,,,,,,,,,,,,,,,,,,,
290022,2,01-04-2024,5,W01313,Door,9240,17920,Kupwad M I D C Sangli Gst No-27aaacw3853c1zh,384,10978,"Plot No.A-1, Phase-II, Kesurdi, Shirwal-Khandala M.I.D.C. Dist. SataraGST NO. 27AAACK5918J1ZC",275,NULL,,NULL,0,NULL,0,0,0,0,0,0,25,1,AAEFD5950A,NULL,3,NULL,NULL,NULL,NULL,1,5,E-way Bill No.221741259814.,1,NULL,,,,,,,,,,,,,,,,,,,
290023,3,01-04-2024,5,19202.19201.19017.,Door,9240,7,"G-13, M I D C Kupwad, Sangli.GST NO. 27AAACJ6740K1ZD",384,8685,"94/1, Manjri Budruk, Tal. Haweli, Dist. Pune- 412307GST NO. 27AAACI3917P1Z7",216,NULL,,NULL,0,NULL,0,0,0,0,0,0,25,1,AAEFD5950A,NULL,3,NULL,NULL,NULL,NULL,1,5,E-way Bill No.251743332998.291743333162.21174333311.,1,NULL,,,,,,,,,,,,,,,,,,,
290024,4,01-04-2024,5,18227.18874.18873.18877.18831.19051.19048.18411.18410.19001.18999.19214.,Door,9240,7,"G-13, M I D C Kupwad, Sangli.GST NO. 27AAACJ6740K1ZD",384,10978,"Plot No.A-1, Phase-II, Kesurdi, Shirwal-Khandala M.I.D.C. Dist. SataraGST NO. 27AAACK5918J1ZC",275,NULL,,NULL,0,NULL,0,0,0,0,0,0,25,1,AAEFD5950A,NULL,3,NULL,NULL,NULL,NULL,1,5,E-way Bill No.2717433266648.211743266749.291743267720.201743267864.-to- 2117433268307.231743268428.271743268529.291743268934.-to- 251743269104.201743269208.211743332868.2417433411476.,1,NULL,,,,,,,,,,,,,,,,,,,
290025,5,01-04-2024,5,Ico3127.19146.19147.19012.19019./19015.18809.18815.19008/.18970.19007.18386.18516.18693./,Door,9240,7,"G-13, M I D C Kupwad, Sangli.GST NO. 27AAACJ6740K1ZD",384,2763,"Pune Mumbai Road, Pimpri, Pune-411028GST NO. 27AAACK5918J1ZC",38,NULL,,NULL,0,NULL,0,0,0,0,0,0,25,1,AAEFD5950A,NULL,3,NULL,NULL,NULL,NULL,1,5,E-way Bill No.201741925232.281743264265.261743264834.241743265026.-to- 261743265121.251743265256.291743265584.221743265707.-to- 201743265800.211743265957.281743266133.251743266259.-to- 221743266416.261743266520.,1,38:09.9,,,,,,,,,,,,,,,,,,,
290027,17,01-04-2024,1,STPL/23-24/01496 To 1510,Door,10724,15538,"49&amp;58.near Industrial Estate,palus ,sangli. GST NO-27AAZCS1542H1ZW",20,2763,"Pune Mumbai Road, Pimpri, Pune-411028GST NO. 27AAACK5918J1ZC",38,NULL,,NULL,0,NULL,937783,0,0,0,0,0,25,1,AAEFD5950A,NULL,3,NULL,NULL,NULL,NULL,2,1,"E Way Bill No: 221743369067, 201743369090, 291743369109, 271743369129, 201743369144, 231743369156, 231743369169, 291743369211, 251743369222, 201743369227, 231743369242, 281743369263, 261743369283, 281743369292, 291743369310",1,NULL,,,,,,,,,,,,,,,,,,,
290028,18,02-04-2024,1,944,Door,11061,4423,"814, Shukrwar Peth Pune-41002GST NO. 27AAPFS6936G1ZM",310,2427,"19/13,Kupwad,midc, Bamnoli Road,kupwad SangliGST NO. 27AAPFS6936G1ZM",384,NULL,,NULL,0,NULL,0,250,5,0,250,0,25,1,AAEFD5950A,NULL,3,NULL,NULL,NULL,NULL,2,1,As Per Challan No: 944,1,47:52.4,,,,,,,,,,,,,,,,,,,
290029,19,02-04-2024,1,GST-1/2,Door,9537,7853,Plot No 195 Industrial Estate Palus GST NO. 27ABQPY3148J1ZV,20,22674,"Plot No. I-9/I-10, At Post. Mouje Dhangarwadi, Tal.Khandala, Satara-415521GST NO.27AABCD3568L1ZC",275,28325,KHANDALA,NULL,0,NULL,329478,0,0,0,0,0,25,1,AAEFD5950A,NULL,3,NULL,NULL,NULL,NULL,1,1,E-WAY BILL NO-221743337910,1,26:20.2,,,,,,,,,,,,,,,,,,,
290030,1,02-04-2024,4,4,Door,9265,3590,"Sanskruti Purva Apt. Flat No. K/02, 13th Lane, Rajarampuri, KolhapurGST NO: 27ABDPL3334J1ZP",21,10507,"B-2, Shrushti Appt. 1st Floor, Near Centuri Enka Colony No.2, Near Nasik Highway, Bhosari, PuneGST NO: 27AAGCB6753L1Z8",18,NULL,,NULL,0,NULL,23647,0,0,0,0,0,25,NULL,AAEFD5950A,NULL,3,NULL,NULL,NULL,NULL,1,4,As Per Challan No: 04,1,28:37.8,,,,,,,,,,,,,,,,,,,
290031,20,02-04-2024,1,24250003,Door,9415,2538,"Kasurdi, Khed Shivapur (k. B) Tal. Bhor Pune-412205 GST NO.27AABFC0016H1Z3",92,1872,"B-38, M.I.D.C. Gokul Shirgaon, KolhapurGST NO: 27ADLPS1734P1Z0",23,NULL,,NULL,0,NULL,261087,0,0,0,0,0,25,1,AAEFD5950A,NULL,3,NULL,NULL,NULL,NULL,1,1,E- WAY BILL NO. 281743772276,1,42:30.5,,,,,,,,,,,,,,,,,,,
290032,1,02-04-2024,3,1284,Door,NULL,3316,"D-60/3, M I D C Gokul Shirgaon, KolhapurGST No:27ADPPS5599C1ZU",23,18192,"S. No.114,Plot No-32 B Hadapsar Industrial Estate, PuneGST No.27AAACE3847J1ZI",120,NULL,,NULL,0,NULL,0,0,0,0,0,0,25,1,AAEFD5950A,NULL,3,NULL,NULL,NULL,NULL,1,3,As Per Challan No: 1284,1,03:06.9,,,,,,,,,,,,,,,,,,,
290033,2,02-04-2024,3,25-Jan,Door,77,8692,"Plot No. H-6, M.I.D.C. Gokul Shirgaon, KolhapurGST NO: 27AAHFC5758Q1ZN",23,18192,"S. No.114,Plot No-32 B Hadapsar Industrial Estate, PuneGST No.27AAACE3847J1ZI",120,NULL,,NULL,0,NULL,26337,0,0,0,0,0,25,1,AAEFD5950A,NULL,3,NULL,NULL,NULL,NULL,1,1,As Per Challan No: 2324429,1,NULL,,,,,,,,,,,,,,,,,,,
290034,3,02-04-2024,3,01-Feb,Door,9637,243,"F-49, M.I.D.C. Gokul Shirgaon, Kolhapur-416234GST NO. 27AADFP3583G1Z4",23,2527,"Gat No.313, Gauddara Road, Khed Shivapur, Pune.GST NO. 27AAACL4245M1ZB",224,NULL,,NULL,0,NULL,144146.44,0,0,0,0,0,25,1,AAEFD5950A,NULL,3,NULL,NULL,NULL,NULL,1,1,E Way Bill No-211743854669/281743852789,1,NULL,,,,,,,,,,,,,,,,,,,
290037,2,02-04-2024,4,38,Door,998,2249,"Plot No. 6, 7, 8, Shri Laxmi Co.op Hatkanangale Kolhapur.GST NO. 27AAAFF2984N1ZZ",155,8308,"Mumbai- Pune Road, Chinchwad, Pune- 411019GST NO. 27AABCD3568L1ZC",8,5407,Khed Shivapur Pune,224,0,NULL,525000,0,0,0,0,0,25,1,AAEFD5950A,NULL,3,NULL,NULL,NULL,NULL,1,4,E Way Bill No 231743749361,1,40:48.2,,,,,,,,,,,,,,,,,,,
290038,3,02-04-2024,4,F00005/ 00006,Door,9240,2249,"Plot No. 6, 7, 8, Shri Laxmi Co.op Hatkanangale Kolhapur.GST NO. 27AAAFF2984N1ZZ",155,5195,"Gat No.25+37+43/A, At. Kavathe Tal Khandala, Satara Gst No-27aaccd2898l1z4",361,12688,Gat- No.94 Karmavati Engli,628,0,NULL,399258,0,0,0,0,0,25,1,AAEFD5950A,NULL,3,NULL,NULL,NULL,NULL,1,4,E Way Bill No 281743877021/ 211743877314,1,NULL,,,,,,,,,,,,,,,,,,,
290039,4,02-04-2024,4,1,Door,9265,2403,"B-43, M I D C Shiroli Kolhapur-416122GST NO:27AAAFQ1178M1ZY",21,2531,"Gat No. 144,145, Village Dhanore, Alandi- Markal Road, Tal. Khed, Dist. Pune-412105GST NO. 27AAACR8221P1ZZ",36,NULL,,NULL,0,NULL,95828,0,0,0,0,0,25,1,AAEFD5950A,NULL,3,NULL,NULL,NULL,NULL,1,4,Modvat Copy Atteched,1,NULL,,,,,,,,,,,,,,,,,,,
290040,5,02-04-2024,4,3/ ,Door,9265,3425,"Gat No. 8/759, Nr. Muk Badhir School, Tilwani, Ichalkaranji, Dist. Kolhapur GST NO 27AANPN6071H1ZC",13,2763,"Pune Mumbai Road, Pimpri, Pune-411028GST NO. 27AAACK5918J1ZC",38,NULL,,NULL,0,NULL,163506,0,0,0,0,0,25,1,AAEFD5950A,NULL,3,NULL,NULL,NULL,NULL,1,4,E Way Bill No 221743901786,1,NULL,,,,,,,,,,,,,,,,,,,
290041,6,02-04-2024,4,02788/ 02549,Door,9265,2438,Plot No. 29 M.I.D.C. Shiroli KolhapurGST NO: 27AACCT3261F1ZI,21,8308,"Mumbai- Pune Road, Chinchwad, Pune- 411019GST NO. 27AABCD3568L1ZC",8,NULL,,NULL,0,NULL,315224,0,0,0,0,0,25,1,AAEFD5950A,NULL,3,NULL,NULL,NULL,NULL,1,4,E Way Bill No 271743729972/ 261743732076,1,NULL,,,,,,,,,,,,,,,,,,,
290049,21,02-04-2024,1,1,Door,9278,15113,"Plot No. 118/4, Landmark- Times Of India, Sect. No. 10, PCNDTA, Bhosari, Pune- 411026GT NO: ",18,8685,"94/1, Manjri Budruk, Tal. Haweli, Dist. Pune- 412307GST NO. 27AAACI3917P1Z7",51,27839,"D-77, Five Star MIDC Kagal, KolhapurGST NO. 27AAMCP8749G1ZR",51,0,NULL,186816,0,0,0,0,0,25,1,AAEFD5950A,NULL,3,NULL,NULL,NULL,NULL,2,1,E Way Bill No: 211743756646,1,NULL,,,,,,,,,,,,,,,,,,,
290050,22,02-04-2024,1,"01, 02",Door,77,5046,"El/102,sect,no.7 MidcBhosari Pune-26GST NO: 27AAZPR8169E1ZR",18,8309,"Plot No. E-25, M. I. D. C. Gokul Shirgaon, Kolhapur- 416234GST NO.27AABCD3568L1ZC",23,NULL,,NULL,0,NULL,75048,0,0,0,0,0,25,1,AAEFD5950A,NULL,3,NULL,NULL,NULL,NULL,2,1,"As Per Challan No: 01, 02",1,NULL,,,,,,,,,,,,,,,,,,,
